Driver,Nationality,Season,Championships,Race_Entries,Race_Starts,Pole_Positions,Race_Wins,Podiums,Fastest_Laps,Championship Years,Decade,Pole_Rate,Start_Rate,Win_Rate,Podium_Rate,FastLap_Rate,Points_Per_Entry,Years_Active,Champion
Carlo Abate,Italy,1962,0.0,3.0,0.0,0.0,0.0,0.0,0.0,,1960,0.0,0.0,0.0,0.0,0.0,0.0,2,False
Carlo Abate,Italy,1963,0.0,3.0,0.0,0.0,0.0,0.0,0.0,,1960,0.0,0.0,0.0,0.0,0.0,0.0,2,False
George Abecassis,United Kingdom,1951,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,1950,0.0,1.0,0.0,0.0,0.0,0.0,2,False
George Abecassis,United Kingdom,1952,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,1950,0.0,1.0,0.0,0.0,0.0,0.0,2,False
Kenny Acheson,United Kingdom,1983,0.0,10.0,3.0,0.0,0.0,0.0,0.0,,1980,0.0,0.3,0.0,0.0,0.0,0.0,2,False
Kenny Acheson,United Kingdom,1985,0.0,10.0,3.0,0.0,0.0,0.0,0.0,,1980,0.0,0.3,0.0,0.0,0.0,0.0,2,False
Andrea de Adamich,Italy,1968,0.0,36.0,30.0,0.0,0.0,0.0,0.0,,1970,0.0,0.8333333333333334,0.0,0.0,0.0,0.1666666666666666,5,False
Andrea de Adamich,Italy,1970,0.0,36.0,30.0,0.0,0.0,0.0,0.0,,1970,0.0,0.8333333333333334,0.0,0.0,0.0,0.1666666666666666,5,False
Andrea de Adamich,Italy,1971,0.0,36.0,30.0,0.0,0.0,0.0,0.0,,1970,0.0,0.8333333333333334,0.0,0.0,0.0,0.1666666666666666,5,False
Andrea de Adamich,Italy,1972,0.0,36.0,30.0,0.0,0.0,0.0,0.0,,1970,0.0,0.8333333333333334,0.0,0.0,0.0,0.1666666666666666,5,False
Andrea de Adamich,Italy,1973,0.0,36.0,30.0,0.0,0.0,0.0,0.0,,1970,0.0,0.8333333333333334,0.0,0.0,0.0,0.1666666666666666,5,False
Philippe Adams,Belgium,1994,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,1990,0.0,1.0,0.0,0.0,0.0,0.0,1,False
Walt Ader,United States,1950,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,1950,0.0,1.0,0.0,0.0,0.0,0.0,1,False
Kurt Adolff,West Germany,1953,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,1950,0.0,1.0,0.0,0.0,0.0,0.0,1,False
Fred Agabashian,United States,1950,0.0,9.0,8.0,1.0,0.0,0.0,0.0,,1950,0.1111111111111111,0.8888888888888888,0.0,0.0,0.0,0.1666666666666666,8,False
Fred Agabashian,United States,1951,0.0,9.0,8.0,1.0,0.0,0.0,0.0,,1950,0.1111111111111111,0.8888888888888888,0.0,0.0,0.0,0.1666666666666666,8,False
Fred Agabashian,United States,1952,0.0,9.0,8.0,1.0,0.0,0.0,0.0,,1950,0.1111111111111111,0.8888888888888888,0.0,0.0,0.0,0.1666666666666666,8,False
